국가,도,시,유튜브 채널명,영상 제목,영상 링크,업로드일,장소 이름,맵 링크,주소,위도,경도,카테고리,여행 일차,방문 순서,타임라인
,,,,,,,,,,,,,,,
,,,,,교토 당일치기🇯🇵 특급이색열차 교트레인(강추)🚇•기요미즈데라•청수사•니넨자카 산넨자카까지 제일 예쁘고 효율적인 코스로 모십니다 🚎,,,,,,,,,,
일본,,교토,Ruby루비,교토 당일치기🇯🇵 특급이색열차 교트레인(강추)🚇•기요미즈데라•청수사•니넨자카 산넨자카까지 제일 예쁘고 효율적인 코스로 모십니다 🚎,https://youtu.be/dt75Okjs3pU?si=1BMpaojhtXm4OX2o,2025-04-24,가츠쿠라 산조,https://maps.google.com/?cid=1940928698682838874,"674 Bantoyacho, Nakagyo Ward, Kyoto, 604-8143 일본",35.0040302,135.760949,restaurant,1,1,2:28
일본,,교토,Ruby루비,교토 당일치기🇯🇵 특급이색열차 교트레인(강추)🚇•기요미즈데라•청수사•니넨자카 산넨자카까지 제일 예쁘고 효율적인 코스로 모십니다 🚎,https://youtu.be/dt75Okjs3pU?si=1BMpaojhtXm4OX2o,2025-04-24,빔즈 교토,https://maps.google.com/?cid=13062938216905114319,"일본 〒604-8172 Kyoto, Nakagyo Ward, Banocho, 586-2 新風館 1階",35.0097264,135.7599054,clothing_store,1,2,4:53
일본,,교토,Ruby루비,교토 당일치기🇯🇵 특급이색열차 교트레인(강추)🚇•기요미즈데라•청수사•니넨자카 산넨자카까지 제일 예쁘고 효율적인 코스로 모십니다 🚎,https://youtu.be/dt75Okjs3pU?si=1BMpaojhtXm4OX2o,2025-04-24,tamaru inbou,https://maps.google.com/?cid=16261197377632839935,"537 Nakanocho, Nakagyo Ward, Kyoto, 604-8042 일본",35.0049552,135.7672433,store,1,3,6:24
일본,,교토,Ruby루비,교토 당일치기🇯🇵 특급이색열차 교트레인(강추)🚇•기요미즈데라•청수사•니넨자카 산넨자카까지 제일 예쁘고 효율적인 코스로 모십니다 🚎,https://youtu.be/dt75Okjs3pU?si=1BMpaojhtXm4OX2o,2025-04-24,야사카 신사,https://maps.google.com/?cid=14374021738854095593,"625 Gionmachi Kitagawa, Higashiyama Ward, Kyoto, 605-0073 일본",35.0036559,135.7785534,tourist_attraction,1,4,8:40
일본,,교토,Ruby루비,교토 당일치기🇯🇵 특급이색열차 교트레인(강추)🚇•기요미즈데라•청수사•니넨자카 산넨자카까지 제일 예쁘고 효율적인 코스로 모십니다 🚎,https://youtu.be/dt75Okjs3pU?si=1BMpaojhtXm4OX2o,2025-04-24,니넨자카,https://maps.google.com/?cid=16622321643655642677,"일본 〒605-0826 Kyoto, Higashiyama Ward, Masuyacho, 清水2丁目",34.9981744,135.7808578,tourist_attraction,1,5,10:39
일본,,교토,Ruby루비,교토 당일치기🇯🇵 특급이색열차 교트레인(강추)🚇•기요미즈데라•청수사•니넨자카 산넨자카까지 제일 예쁘고 효율적인 코스로 모십니다 🚎,https://youtu.be/dt75Okjs3pU?si=1BMpaojhtXm4OX2o,2025-04-24,기요미즈데라,https://maps.google.com/?cid=7111013964196361402,"1 Chome-294 Kiyomizu, Higashiyama Ward, Kyoto, 605-0862 일본",34.9946662,135.784661,tourist_attraction,1,6,11:30
일본,,교토,Ruby루비,교토 당일치기🇯🇵 특급이색열차 교트레인(강추)🚇•기요미즈데라•청수사•니넨자카 산넨자카까지 제일 예쁘고 효율적인 코스로 모십니다 🚎,https://youtu.be/dt75Okjs3pU?si=1BMpaojhtXm4OX2o,2025-04-24,% 아라비카 교토 히가시야마점,https://maps.google.com/?cid=5927226485630185275,"87-5 Hoshinocho, Higashiyama Ward, Kyoto, 605-0853 일본",34.9986363,135.7782944,cafe,1,7,14:10
,,,,,,,,,,,,,,,
,,,,,🐬양양 1박 2일🏄🏻‍♀️ 여행 추천 코스.zip | 가성비 좋은 오션뷰 호텔•에스프레소바•브런치카페,,,,,,,,,,
대한민국,강원,양양,Ruby루비,🐬양양 1박 2일🏄🏻‍♀️ 여행 추천 코스.zip | 가성비 좋은 오션뷰 호텔•에스프레소바•브런치카페,https://youtu.be/Zs4ZsuOjwQE?feature=shared,2024-10-03,양양 막국수,https://place.map.kakao.com/919943411,강원특별자치도 양양군 현남면 인구리 634-4,37.96933152396100,128.76121693899100,음식점 > 한식 > 국수,1,1,1:46
대한민국,강원,양양,Ruby루비,🐬양양 1박 2일🏄🏻‍♀️ 여행 추천 코스.zip | 가성비 좋은 오션뷰 호텔•에스프레소바•브런치카페,https://youtu.be/Zs4ZsuOjwQE?feature=shared,2024-10-03,fifty fifty espresso & bar,https://place.map.kakao.com/695252312,강원특별자치도 양양군 현남면 인구리 52-5,37.9690642377179,128.760417420439,음식점 > 카페 > 커피전문점,1,2,2:19
대한민국,강원,양양,Ruby루비,🐬양양 1박 2일🏄🏻‍♀️ 여행 추천 코스.zip | 가성비 좋은 오션뷰 호텔•에스프레소바•브런치카페,https://youtu.be/Zs4ZsuOjwQE?feature=shared,2024-10-03,마할로호텔,https://place.map.kakao.com/1917373251,강원특별자치도 양양군 현남면 시변리 33-13,37.9720381004742,128.76148531856600,"여행 > 숙박 > 여관,모텔",1,3,3:28
대한민국,강원,양양,Ruby루비,🐬양양 1박 2일🏄🏻‍♀️ 여행 추천 코스.zip | 가성비 좋은 오션뷰 호텔•에스프레소바•브런치카페,https://youtu.be/Zs4ZsuOjwQE?feature=shared,2024-10-03,기막힌 닭,https://place.map.kakao.com/1423754025,강원특별자치도 양양군 현남면 인구리 1-51,37.9705767151489,128.761802013276,"음식점 > 한식 > 육류,고기 > 닭요리",1,4,5:06
대한민국,강원,양양,Ruby루비,🐬양양 1박 2일🏄🏻‍♀️ 여행 추천 코스.zip | 가성비 좋은 오션뷰 호텔•에스프레소바•브런치카페,https://youtu.be/Zs4ZsuOjwQE?feature=shared,2024-10-03,피카,https://place.map.kakao.com/818050997,강원특별자치도 양양군 현남면 인구리 10-4,37.970264408271,128.760520054575,음식점 > 카페,2,1,7:17
대한민국,강원,양양,Ruby루비,🐬양양 1박 2일🏄🏻‍♀️ 여행 추천 코스.zip | 가성비 좋은 오션뷰 호텔•에스프레소바•브런치카페,https://youtu.be/Zs4ZsuOjwQE?feature=shared,2024-10-03,카루나 라운지,https://place.map.kakao.com/925045652,강원특별자치도 양양군 현남면 인구리 641-3,37.9674324057331,128.761949878842,음식점 > 카페,2,2,8:41
,,,,,,,,,,,,,,,
,,,,,3박 4일 상하이🇨🇳 딱 핵심 코스만 요약해옴❤️‍🔥(고덕지도 링크 포함) 여행 필수 어플부터 웨이팅 꿀팁까지✅ 점도덕•헌저우이치엔•그랜드마더•우캉맨션•헤이티•예원•난징동루,,,,,,,,,,
중국,,상하이,Ruby루비,3박 4일 상하이🇨🇳 딱 핵심 코스만 요약해옴❤️‍🔥(고덕지도 링크 포함) 여행 필수 어플부터 웨이팅 꿀팁까지✅ 점도덕•헌저우이치엔•그랜드마더•우캉맨션•헤이티•예원•난징동루,https://youtu.be/O9By4I3T6Rk?si=zAD5mmuhmUpsbCIJ,2025-05-06,24K International Hotel - Nan Jing Road Branch,https://maps.google.com/?cid=923745590921796462,"555 Fuzhou Rd, Huangpu, Shanghai, 중국 200001",31.232836,121.480064,lodging,1,1,4:30
중국,,상하이,Ruby루비,3박 4일 상하이🇨🇳 딱 핵심 코스만 요약해옴❤️‍🔥(고덕지도 링크 포함) 여행 필수 어플부터 웨이팅 꿀팁까지✅ 점도덕•헌저우이치엔•그랜드마더•우캉맨션•헤이티•예원•난징동루,https://youtu.be/O9By4I3T6Rk?si=zAD5mmuhmUpsbCIJ,2025-05-06,Shanghai Grandmother Restaurant,https://maps.google.com/?cid=14598701782296057142,"70 Fuzhou Rd, Waitan, Huangpu, Shanghai, 중국 200002",31.2354602,121.4890412,restaurant,1,2,5:35
중국,,상하이,Ruby루비,3박 4일 상하이🇨🇳 딱 핵심 코스만 요약해옴❤️‍🔥(고덕지도 링크 포함) 여행 필수 어플부터 웨이팅 꿀팁까지✅ 점도덕•헌저우이치엔•그랜드마더•우캉맨션•헤이티•예원•난징동루,https://youtu.be/O9By4I3T6Rk?si=zAD5mmuhmUpsbCIJ,2025-05-06,Xicha (Shanghai New World City Store),https://maps.google.com/?cid=7595521475630662776,중국 CN 上海市 黄浦区 南京西路 2 2~68号1层 New World City 邮政编码: 200003,31.2355744,121.4739213,point_of_interest,1,3,8:17
중국,,상하이,Ruby루비,3박 4일 상하이🇨🇳 딱 핵심 코스만 요약해옴❤️‍🔥(고덕지도 링크 포함) 여행 필수 어플부터 웨이팅 꿀팁까지✅ 점도덕•헌저우이치엔•그랜드마더•우캉맨션•헤이티•예원•난징동루,https://youtu.be/O9By4I3T6Rk?si=zAD5mmuhmUpsbCIJ,2025-05-06,외탄,https://maps.google.com/?cid=5572918584525565796,"Zhongshan Rd (E-1), Waitan, Huangpu, Shanghai, 중국 200002",31.2402611,121.490577,tourist_attraction,1,4,10:20
