국가,도,시,유튜브 채널명,영상 제목,영상 링크,업로드일,장소 이름,맵 링크,주소,위도,경도,카테고리,여행 일차,방문 순서,타임라인
,,,,,,,,,,,,,,,
,,,,,★彡Vlog 관광지에서도 굿즈샵만 다니는 녀자가 되、、| 후쿠오카 애니메이트 • 굿즈샵 • 유후인 가챠샵 • 오타쿠 브이로그 • 하이큐 • 히로아카 • 나히아 • 산리오,,,,,,,,,,
일본,,후쿠오카,듀이ヂュイ♥彡,★彡Vlog 관광지에서도 굿즈샵만 다니는 녀자가 되、、| 후쿠오카 애니메이트 • 굿즈샵 • 유후인 가챠샵 • 오타쿠 브이로그 • 하이큐 • 히로아카 • 나히아 • 산리오,https://www.youtube.com/watch?v=7GmAXb3ndB4,2024-11-10,오호리 공원,https://maps.google.com/?cid=14839213291318671256,"일본 〒810-0051 Fukuoka, Chuo Ward, Ohorikoen, 公園管理事務所",33.5862065,130.3764646,park,1,1,0:45
일본,,후쿠오카,듀이ヂュイ♥彡,★彡Vlog 관광지에서도 굿즈샵만 다니는 녀자가 되、、| 후쿠오카 애니메이트 • 굿즈샵 • 유후인 가챠샵 • 오타쿠 브이로그 • 하이큐 • 히로아카 • 나히아 • 산리오,https://www.youtube.com/watch?v=7GmAXb3ndB4,2024-11-10,빌리지뱅가드 후쿠오카파르코점,https://maps.google.com/?cid=17256297180810462194,"2 Chome-11-1 Tenjin, Chuo Ward, Fukuoka, 810-0001 일본",33.5904295,130.3988395,book_store,1,2,0:51
일본,,후쿠오카,듀이ヂュイ♥彡,★彡Vlog 관광지에서도 굿즈샵만 다니는 녀자가 되、、| 후쿠오카 애니메이트 • 굿즈샵 • 유후인 가챠샵 • 오타쿠 브이로그 • 하이큐 • 히로아카 • 나히아 • 산리오,https://www.youtube.com/watch?v=7GmAXb3ndB4,2024-11-10,가샤폰 반다이 오피셜샵 후쿠오카파르코점,https://maps.google.com/?cid=7802203228443176369,"일본 〒810-0001 Fukuoka, Chuo Ward, Tenjin, 2 Chome−11−1 福岡パルコ 本館 7F",33.590874,130.39855,store,1,3,1:50
일본,,후쿠오카,듀이ヂュイ♥彡,★彡Vlog 관광지에서도 굿즈샵만 다니는 녀자가 되、、| 후쿠오카 애니메이트 • 굿즈샵 • 유후인 가챠샵 • 오타쿠 브이로그 • 하이큐 • 히로아카 • 나히아 • 산리오,https://www.youtube.com/watch?v=7GmAXb3ndB4,2024-11-10,애니메이트 후쿠오카파르코점,https://maps.google.com/?cid=8729577193478370598,"일본 〒810-0001 Fukuoka, Chuo Ward, Tenjin, 2 Chome−11−1 福岡パルコ本館 ８F",33.5909156,130.3987274,movie_rental,1,4,2:40
일본,,후쿠오카,듀이ヂュイ♥彡,★彡Vlog 관광지에서도 굿즈샵만 다니는 녀자가 되、、| 후쿠오카 애니메이트 • 굿즈샵 • 유후인 가챠샵 • 오타쿠 브이로그 • 하이큐 • 히로아카 • 나히아 • 산리오,https://www.youtube.com/watch?v=7GmAXb3ndB4,2024-11-10,sanrio vivitix 텐진지하가,https://maps.google.com/?cid=6085662735472889187,"일본 〒810-0001 Fukuoka, Chuo Ward, Tenjin, 2 Chome, 地下街地下3315",33.5888398,130.399628,store,1,5,9:09
일본,,후쿠오카,듀이ヂュイ♥彡,★彡Vlog 관광지에서도 굿즈샵만 다니는 녀자가 되、、| 후쿠오카 애니메이트 • 굿즈샵 • 유후인 가챠샵 • 오타쿠 브이로그 • 하이큐 • 히로아카 • 나히아 • 산리오,https://www.youtube.com/watch?v=7GmAXb3ndB4,2024-11-10,반다이남코 크로스스토어 하카타 (캐널시티),https://maps.google.com/?cid=10103364122178566167,"일본 〒812-0018 Fukuoka, Hakata Ward, Sumiyoshi, 1 Chome−2−74 キャナルシティ博多 サウスビル B1F",33.5886702,130.4108171,store,1,6,10:32
일본,,후쿠오카,듀이ヂュイ♥彡,★彡Vlog 관광지에서도 굿즈샵만 다니는 녀자가 되、、| 후쿠오카 애니메이트 • 굿즈샵 • 유후인 가챠샵 • 오타쿠 브이로그 • 하이큐 • 히로아카 • 나히아 • 산리오,https://www.youtube.com/watch?v=7GmAXb3ndB4,2024-11-10,점프샵 후쿠오카점,https://maps.google.com/?cid=8494906483449034098,"1 Chome-2-22B1 Sumiyoshi, Hakata Ward, Fukuoka, 812-0018 일본",33.5900206,130.4111575,store,1,7,10:38
일본,,후쿠오카,듀이ヂュイ♥彡,★彡Vlog 관광지에서도 굿즈샵만 다니는 녀자가 되、、| 후쿠오카 애니메이트 • 굿즈샵 • 유후인 가챠샵 • 오타쿠 브이로그 • 하이큐 • 히로아카 • 나히아 • 산리오,https://www.youtube.com/watch?v=7GmAXb3ndB4,2024-11-10,산리오 갤러리 하카타점,https://maps.google.com/?cid=6624918667476742893,"일본 〒812-0018 Fukuoka, Hakata Ward, Sumiyoshi, 1 Chome−2−22 B1F キャナルシティOPAセンターウォーク北側",33.58976,130.411229,store,1,8,10:44
일본,,후쿠오카,듀이ヂュイ♥彡,★彡Vlog 관광지에서도 굿즈샵만 다니는 녀자가 되、、| 후쿠오카 애니메이트 • 굿즈샵 • 유후인 가챠샵 • 오타쿠 브이로그 • 하이큐 • 히로아카 • 나히아 • 산리오,https://www.youtube.com/watch?v=7GmAXb3ndB4,2024-11-10,유후인 어뮤즈,https://maps.google.com/?cid=5904025909234813091,일본 〒879-5102 OitaYufu-shi 1503-1 Yufuinchō Kawakami,33.2673388,131.3656309,store,2,1,11:02
,,,,,,,,,,,,,,,
,,,,,★彡Vlog 2박 3일 도쿄 혼여행🗼목표는 오직 굿즈뿐Σ(-᷅_-᷄๑) | 아키하바라 • 이케부쿠로 • 도쿄 굿즈샵 • 오타쿠투어 • 하이큐 • 히로아카 • 오타쿠 브이로그,,,,,,,,,,
일본,,도쿄,듀이ヂュイ♥彡,★彡Vlog 2박 3일 도쿄 혼여행🗼목표는 오직 굿즈뿐Σ(-᷅_-᷄๑) | 아키하바라 • 이케부쿠로 • 도쿄 굿즈샵 • 오타쿠투어 • 하이큐 • 히로아카 • 오타쿠 브이로그,https://www.youtube.com/watch?v=n8bBq0PIMcs,2024-09-28,라디오회관,https://maps.google.com/?cid=3516513028144054760,"1 Chome-15-16 Sotokanda, Chiyoda City, Tokyo 101-0021 일본",35.6979149,139.7719571,shopping_mall,1,1,1:11
일본,,도쿄,듀이ヂュイ♥彡,★彡Vlog 2박 3일 도쿄 혼여행🗼목표는 오직 굿즈뿐Σ(-᷅_-᷄๑) | 아키하바라 • 이케부쿠로 • 도쿄 굿즈샵 • 오타쿠투어 • 하이큐 • 히로아카 • 오타쿠 브이로그,https://www.youtube.com/watch?v=n8bBq0PIMcs,2024-09-28,애니메이트 아키하바라점,https://maps.google.com/?cid=10553894423225248039,"4 Chome-3-1 Sotokanda, Chiyoda City, Tokyo 101-0021 일본",35.7004408,139.7716871,movie_rental,1,2,2:29
일본,,도쿄,듀이ヂュイ♥彡,★彡Vlog 2박 3일 도쿄 혼여행🗼목표는 오직 굿즈뿐Σ(-᷅_-᷄๑) | 아키하바라 • 이케부쿠로 • 도쿄 굿즈샵 • 오타쿠투어 • 하이큐 • 히로아카 • 오타쿠 브이로그,https://www.youtube.com/watch?v=n8bBq0PIMcs,2024-09-28,Sofmap ReCollection Nakano Broadway Store,https://maps.google.com/?cid=7467343719991690526,"일본 〒170-0013 Tokyo, Toshima City, Higashiikebukuro, 1 Chome−2−8 塚越ビル 1階",35.7092359,139.6657738,electronics_store,1,3,4:28
일본,,도쿄,듀이ヂュイ♥彡,★彡Vlog 2박 3일 도쿄 혼여행🗼목표는 오직 굿즈뿐Σ(-᷅_-᷄๑) | 아키하바라 • 이케부쿠로 • 도쿄 굿즈샵 • 오타쿠투어 • 하이큐 • 히로아카 • 오타쿠 브이로그,https://www.youtube.com/watch?v=n8bBq0PIMcs,2024-09-28,아미아미 아키하바라점,https://maps.google.com/?cid=13400288268817439895,"1 Chome-15-3 Sotokanda, Chiyoda City, Tokyo 101-0021 일본",35.6979497,139.7714597,store,1,4,5:11
