국가,도,시,유튜브 채널명,영상 제목,영상 링크,업로드일,장소 이름,맵 링크,주소,위도,경도,카테고리,여행 일차,방문 순서,타임라인
,,,,,,,,,,,,,,,
,,,,,"경주여행 1박2일 주요 가이드 총정리 / 아니,여기가 우리가 알던 경주가 맞다고?",,,,,,,,,,
대한민국,경상,경주,여코남 - 여행코스짜주는남자,"경주여행 1박2일 주요 가이드 총정리 / ""아니,여기가 우리가 알던 경주가 맞다고?""",https://www.youtube.com/watch?v=5TF2zJFvXdw&list=PL8z7KQfD7gudY2s4CIFJzaxpBnS8uh-AP&index=6,2023-10-07,경주동,https://place.map.kakao.com/1409961965,경북 경주시 황남동 275-4,35.8384421053048,129.2093882673,음식점 > 일식 > 일식집,1,1,0:00
대한민국,경상,경주,여코남 - 여행코스짜주는남자,"경주여행 1박2일 주요 가이드 총정리 / ""아니,여기가 우리가 알던 경주가 맞다고?""",https://www.youtube.com/watch?v=5TF2zJFvXdw&list=PL8z7KQfD7gudY2s4CIFJzaxpBnS8uh-AP&index=6,2023-10-07,선화,https://place.map.kakao.com/176560510,경북 경주시 사정동 1-4,35.838956839138,129.208934460633,음식점 > 카페 > 테마카페 > 디저트카페,1,2,0:00
대한민국,경상,경주,여코남 - 여행코스짜주는남자,"경주여행 1박2일 주요 가이드 총정리 / ""아니,여기가 우리가 알던 경주가 맞다고?""",https://www.youtube.com/watch?v=5TF2zJFvXdw&list=PL8z7KQfD7gudY2s4CIFJzaxpBnS8uh-AP&index=6,2023-10-07,경주대릉원,https://place.map.kakao.com/8288444,경북 경주시 황남동 31-1,35.83819105876200,129.21333399231400,"여행 > 관광,명소 > 문화유적 > 릉,묘,총",1,3,0:00
대한민국,경상,경주,여코남 - 여행코스짜주는남자,"경주여행 1박2일 주요 가이드 총정리 / ""아니,여기가 우리가 알던 경주가 맞다고?""",https://www.youtube.com/watch?v=5TF2zJFvXdw&list=PL8z7KQfD7gudY2s4CIFJzaxpBnS8uh-AP&index=6,2023-10-07,월정교,https://place.map.kakao.com/1839209698,경북 경주시 교동 274,35.82929954620110,129.21812129691900,"여행 > 관광,명소 > 문화유적",1,4,0:00
대한민국,경상,경주,여코남 - 여행코스짜주는남자,"경주여행 1박2일 주요 가이드 총정리 / ""아니,여기가 우리가 알던 경주가 맞다고?""",https://www.youtube.com/watch?v=5TF2zJFvXdw&list=PL8z7KQfD7gudY2s4CIFJzaxpBnS8uh-AP&index=6,2023-10-07,첨성대,https://place.map.kakao.com/8089382,경북 경주시 인왕동 839-1,35.83471481233600,129.21900018259600,"여행 > 관광,명소 > 문화유적",1,5,0:00
대한민국,경상,경주,여코남 - 여행코스짜주는남자,"경주여행 1박2일 주요 가이드 총정리 / ""아니,여기가 우리가 알던 경주가 맞다고?""",https://www.youtube.com/watch?v=5TF2zJFvXdw&list=PL8z7KQfD7gudY2s4CIFJzaxpBnS8uh-AP&index=6,2023-10-07,국립경주박물관,https://place.map.kakao.com/9666845,경북 경주시 인왕동 76,35.829233895353400,129.22795026492500,"문화,예술 > 문화시설 > 박물관",2,1,0:00
대한민국,경상,경주,여코남 - 여행코스짜주는남자,"경주여행 1박2일 주요 가이드 총정리 / ""아니,여기가 우리가 알던 경주가 맞다고?""",https://www.youtube.com/watch?v=5TF2zJFvXdw&list=PL8z7KQfD7gudY2s4CIFJzaxpBnS8uh-AP&index=6,2023-10-07,천군복합문화공간x에브리블랙,https://place.map.kakao.com/1428748139,경북 경주시 천군동 157-16,35.8343592192994,129.29083833009,음식점 > 카페,2,2,0:00
대한민국,경상,경주,여코남 - 여행코스짜주는남자,"경주여행 1박2일 주요 가이드 총정리 / ""아니,여기가 우리가 알던 경주가 맞다고?""",https://www.youtube.com/watch?v=5TF2zJFvXdw&list=PL8z7KQfD7gudY2s4CIFJzaxpBnS8uh-AP&index=6,2023-10-07,황남두꺼비식당,https://place.map.kakao.com/1952344699,경북 경주시 황남동 315-7,35.834487397456700,129.21090737271500,"음식점 > 한식 > 육류,고기 > 갈비",2,3,0:00
