국가,도,시,유튜브 채널명,영상 제목,영상 링크,업로드일,장소 이름,맵 링크,주소,위도,경도,카테고리,여행 일차,방문 순서,타임라인
,,,,,,,,,,,,,,,
,,,,,Vlog • 강원도 여행 브이로그 🇰🇷 속초 양양 강릉 레츠고 | 이틀 만에 맛집 뿌시기 | 양양 오션뷰 숙소 🌊,,,,,,,,,,
대한민국,강원,속초,연수연,Vlog • 강원도 여행 브이로그 🇰🇷 속초 양양 강릉 레츠고 | 이틀 만에 맛집 뿌시기 | 양양 오션뷰 숙소 🌊,https://www.youtube.com/watch?v=GNfN3mSz_cQ,2024-11-18,설악산,https://place.map.kakao.com/21764909,강원특별자치도 양양군 서면 오색리,38.11912517931730,128.4653615314630,"여행 > 관광,명소 > 산",1,1,
대한민국,강원,속초,연수연,Vlog • 강원도 여행 브이로그 🇰🇷 속초 양양 강릉 레츠고 | 이틀 만에 맛집 뿌시기 | 양양 오션뷰 숙소 🌊,https://www.youtube.com/watch?v=GNfN3mSz_cQ,2024-11-18,다향설악,https://place.map.kakao.com/27594398,강원특별자치도 속초시 설악산로 1078,38.11912517931730,128.4653615314630,음식점 > 카페,1,2,
대한민국,강원,속초,연수연,Vlog • 강원도 여행 브이로그 🇰🇷 속초 양양 강릉 레츠고 | 이틀 만에 맛집 뿌시기 | 양양 오션뷰 숙소 🌊,https://www.youtube.com/watch?v=GNfN3mSz_cQ,2024-11-18,설악산 국립공원 입구,https://place.map.kakao.com/492413466,강원특별자치도 속초시 설악동 111-1,38.1729236921226,128.493980523097,"교통,수송 > 입출구",1,3,
대한민국,강원,속초,연수연,Vlog • 강원도 여행 브이로그 🇰🇷 속초 양양 강릉 레츠고 | 이틀 만에 맛집 뿌시기 | 양양 오션뷰 숙소 🌊,https://www.youtube.com/watch?v=GNfN3mSz_cQ,2024-11-18,설악 케이블카,https://place.map.kakao.com/7949134,강원특별자치도 속초시 설악동 146-2,38.17312272847750,128.48909143420900,"여행 > 관광,명소 > 케이블카",1,4,
대한민국,강원,속초,연수연,Vlog • 강원도 여행 브이로그 🇰🇷 속초 양양 강릉 레츠고 | 이틀 만에 맛집 뿌시기 | 양양 오션뷰 숙소 🌊,https://www.youtube.com/watch?v=GNfN3mSz_cQ,2024-11-18,속초관광수산시장,https://place.map.kakao.com/12797187,강원특별자치도 속초시 중앙동 471-4,38.204542733975200,128.5902457350100,"가정,생활 > 시장",1,5,
대한민국,강원,속초,연수연,Vlog • 강원도 여행 브이로그 🇰🇷 속초 양양 강릉 레츠고 | 이틀 만에 맛집 뿌시기 | 양양 오션뷰 숙소 🌊,https://www.youtube.com/watch?v=GNfN3mSz_cQ,2024-11-18,장터 순대국,https://place.map.kakao.com/885835543,강원특별자치도 속초시 금호동 492-17,38.204461774597000,128.5891731487530,음식점 > 한식 > 순대,1,6,
대한민국,강원,속초,연수연,Vlog • 강원도 여행 브이로그 🇰🇷 속초 양양 강릉 레츠고 | 이틀 만에 맛집 뿌시기 | 양양 오션뷰 숙소 🌊,https://www.youtube.com/watch?v=GNfN3mSz_cQ,2024-11-18,그랑베이 바이 쏘타스위트,https://place.map.kakao.com/759977461,강원특별자치도 양양군 강현면 주청리 2-15,38.1173254813102,128.632056362977,여행 > 숙박 > 호텔,1,7,
대한민국,강원,속초,연수연,Vlog • 강원도 여행 브이로그 🇰🇷 속초 양양 강릉 레츠고 | 이틀 만에 맛집 뿌시기 | 양양 오션뷰 숙소 🌊,https://www.youtube.com/watch?v=GNfN3mSz_cQ,2024-11-18,낙산 해수욕장,https://place.map.kakao.com/8229967,강원특별자치도 양양군 강현면 전진리,38.115871436438,128.635755922233,"여행 > 관광,명소 > 해수욕장,해변",2,1,
대한민국,강원,속초,연수연,Vlog • 강원도 여행 브이로그 🇰🇷 속초 양양 강릉 레츠고 | 이틀 만에 맛집 뿌시기 | 양양 오션뷰 숙소 🌊,https://www.youtube.com/watch?v=GNfN3mSz_cQ,2024-11-18,돌바우 횟집,https://place.map.kakao.com/8919896,강원특별자치도 양양군 현남면 남애리 73,37.939784541443200,128.78788907292700,"음식점 > 한식 > 해물,생선 > 회",2,2,
대한민국,강원,속초,연수연,Vlog • 강원도 여행 브이로그 🇰🇷 속초 양양 강릉 레츠고 | 이틀 만에 맛집 뿌시기 | 양양 오션뷰 숙소 🌊,https://www.youtube.com/watch?v=GNfN3mSz_cQ,2024-11-18,로지커피,https://place.map.kakao.com/1169870958,강원특별자치도 강릉시 견소동 4,37.77074284895610,128.94991510140200,음식점 > 카페 > 커피전문점,2,3,
대한민국,강원,속초,연수연,Vlog • 강원도 여행 브이로그 🇰🇷 속초 양양 강릉 레츠고 | 이틀 만에 맛집 뿌시기 | 양양 오션뷰 숙소 🌊,https://www.youtube.com/watch?v=GNfN3mSz_cQ,2024-11-18,만석닭강정 안목직영점,https://place.map.kakao.com/46552981,강원특별자치도 강릉시 견소동 161,37.771333702436100,128.94861419690700,음식점 > 간식 > 닭강정,2,4,
대한민국,강원,속초,연수연,Vlog • 강원도 여행 브이로그 🇰🇷 속초 양양 강릉 레츠고 | 이틀 만에 맛집 뿌시기 | 양양 오션뷰 숙소 🌊,https://www.youtube.com/watch?v=GNfN3mSz_cQ,2024-11-18,동화가든,https://place.map.kakao.com/7846414,강원특별자치도 강릉시 초당동 309-1,37.7911413047027,128.91466316142,음식점 > 한식 > 두부전문점,2,5,
,,,,,,,,,,,,,,,
,,,,,"나혼자 기차 타고 부산 여행 vlog 🌊 | 당일치기 쌉가능한 여행코스 💌 , 200% 만족한 광안리 숙소 🏠, 부산 토박이의 단골집 추천까지,,💛 | 3박4일 부산 브이로그",,,,,,,,,,
대한민국,부산,부산,연수연,"나혼자 기차 타고 부산 여행 vlog 🌊 | 당일치기 쌉가능한 여행코스 💌 , 200% 만족한 광안리 숙소 🏠, 부산 토박이의 단골집 추천까지,,💛 | 3박4일 부산 브이로그",https://www.youtube.com/watch?v=U7vwpgZlD6Q,2025-07-01,거북이금고,https://place.map.kakao.com/1711024786,부산 해운대구 중동 1394-29,35.16254866942860,129.16272972528700,"음식점 > 일식 > 돈까스,우동",1,1,
