국가,도,시,유튜브 채널명,영상 제목,영상 링크,업로드일,장소 이름,맵 링크,주소,위도,경도,카테고리,여행 일차,방문 순서,타임라인
,,,,,,,,,,,,,,,
,,,,,동선낭비없는 부산 3박4일 코스 대마도 당일치기 꿀팁 반드시 가봐야 할 여행지 국내 단 하나뿐인 스카이캡슐 오륙도해맞이공원 흰여울문화마을 감천문화마을 해동용궁사 송도케이블카,,,,,,,,,,
대한민국,부산,부산,하찬투어 hachantour,동선낭비없는 부산 3박4일 코스 대마도 당일치기 꿀팁 반드시 가봐야 할 여행지 국내 단 하나뿐인 스카이캡슐 오륙도해맞이공원 흰여울문화마을 감천문화마을 해동용궁사 송도케이블카,https://www.youtube.com/watch?v=1he5ed8Y5TA,2025-07-10,블루라인파크,https://place.map.kakao.com/321220117,부산 해운대구 중동 555-2,35.16122444597380,129.1913753203650,"여행 > 관광,명소 > 테마파크",1,1,
대한민국,부산,부산,하찬투어 hachantour,동선낭비없는 부산 3박4일 코스 대마도 당일치기 꿀팁 반드시 가봐야 할 여행지 국내 단 하나뿐인 스카이캡슐 오륙도해맞이공원 흰여울문화마을 감천문화마을 해동용궁사 송도케이블카,https://www.youtube.com/watch?v=1he5ed8Y5TA,2025-07-10,해동용궁사,https://place.map.kakao.com/8606230,부산 기장군 기장읍 시랑리 416-3,35.18840281721380,129.2231430744030,"문화,예술 > 종교 > 불교 > 절,사찰",1,2,
대한민국,부산,부산,하찬투어 hachantour,동선낭비없는 부산 3박4일 코스 대마도 당일치기 꿀팁 반드시 가봐야 할 여행지 국내 단 하나뿐인 스카이캡슐 오륙도해맞이공원 흰여울문화마을 감천문화마을 해동용궁사 송도케이블카,https://www.youtube.com/watch?v=1he5ed8Y5TA,2025-07-10,센텀시티,https://place.map.kakao.com/7969139,부산 해운대구 우동 1495,35.16864392798530,129.12907174004900,"가정,생활 > 백화점 > 신세계백화점",1,3,
대한민국,부산,부산,하찬투어 hachantour,동선낭비없는 부산 3박4일 코스 대마도 당일치기 꿀팁 반드시 가봐야 할 여행지 국내 단 하나뿐인 스카이캡슐 오륙도해맞이공원 흰여울문화마을 감천문화마을 해동용궁사 송도케이블카,https://www.youtube.com/watch?v=1he5ed8Y5TA,2025-07-10,부산송도해수욕장,https://place.map.kakao.com/25041637,부산 서구 암남동 135-5,35.0759454359851,129.016954361828,"여행 > 관광,명소 > 해수욕장,해변",1,4,
대한민국,부산,부산,하찬투어 hachantour,동선낭비없는 부산 3박4일 코스 대마도 당일치기 꿀팁 반드시 가봐야 할 여행지 국내 단 하나뿐인 스카이캡슐 오륙도해맞이공원 흰여울문화마을 감천문화마을 해동용궁사 송도케이블카,https://www.youtube.com/watch?v=1he5ed8Y5TA,2025-07-10,송도해상케이블카,https://place.map.kakao.com/1266228191,부산 서구 암남동 765,35.07627090072800,129.02365149179500,"여행 > 관광,명소 > 케이블카",1,5,
대한민국,부산,부산,하찬투어 hachantour,동선낭비없는 부산 3박4일 코스 대마도 당일치기 꿀팁 반드시 가봐야 할 여행지 국내 단 하나뿐인 스카이캡슐 오륙도해맞이공원 흰여울문화마을 감천문화마을 해동용궁사 송도케이블카,https://www.youtube.com/watch?v=1he5ed8Y5TA,2025-07-10,감천문화마을,https://place.map.kakao.com/27150229,부산 사하구 감천동 1-14,35.0974732999703,129.010633663477,"여행 > 관광,명소 > 관광안내소",2,1,
대한민국,부산,부산,하찬투어 hachantour,동선낭비없는 부산 3박4일 코스 대마도 당일치기 꿀팁 반드시 가봐야 할 여행지 국내 단 하나뿐인 스카이캡슐 오륙도해맞이공원 흰여울문화마을 감천문화마을 해동용궁사 송도케이블카,https://www.youtube.com/watch?v=1he5ed8Y5TA,2025-07-10,흰여울문화마을,https://place.map.kakao.com/22875776,부산 영도구 영선동4가 1044-6,35.077914975149700,129.04527260373400,"여행 > 관광,명소",2,2,
대한민국,부산,부산,하찬투어 hachantour,동선낭비없는 부산 3박4일 코스 대마도 당일치기 꿀팁 반드시 가봐야 할 여행지 국내 단 하나뿐인 스카이캡슐 오륙도해맞이공원 흰여울문화마을 감천문화마을 해동용궁사 송도케이블카,https://www.youtube.com/watch?v=1he5ed8Y5TA,2025-07-10,구름에,https://place.map.kakao.com/1350687981,부산 영도구 영선동4가 1024,35.0783235399643,129.045199489753,음식점 > 카페,2,3,
