국가,도,시,유튜브 채널명,영상 제목,영상 링크,업로드일,장소 이름,맵 링크,주소,위도,경도,카테고리,여행 일차,방문 순서,타임라인
,,,,,,,,,,,,,,,
,,,,,"을지로 브이로그☆ミ 세운상가에서 빈티지 디카 사고 을지로 카페•소품샵 투어 (종로디지탈,빠우,꽃밭,우츄진라멘,아트쉬프트,도탑다,커피사,아소토베이커리,마인띵스)",,,,,,,,,,
대한민국,서울,서울,율모조모,"을지로 브이로그☆ミ 세운상가에서 빈티지 디카 사고 을지로 카페•소품샵 투어 (종로디지탈,빠우,꽃밭,우츄진라멘,아트쉬프트,도탑다,커피사,아소토베이커리,마인띵스)",https://www.youtube.com/watch?v=JmnfEnDgHxw,2025-07-09,세운상가,https://place.map.kakao.com/27192181,서울 종로구 장사동 116-4,37.5691379916808,126.995236793525,"가정,생활 > 상가,아케이드",1,1,0:00
대한민국,서울,서울,율모조모,"을지로 브이로그☆ミ 세운상가에서 빈티지 디카 사고 을지로 카페•소품샵 투어 (종로디지탈,빠우,꽃밭,우츄진라멘,아트쉬프트,도탑다,커피사,아소토베이커리,마인띵스)",https://www.youtube.com/watch?v=JmnfEnDgHxw,2025-07-09,빠우 을지로점,https://place.map.kakao.com/163031496,서울 중구 산림동 207-2,37.5671449975857,126.995449719616,음식점 > 간식 > 도넛,1,2,0:00
대한민국,서울,서울,율모조모,"을지로 브이로그☆ミ 세운상가에서 빈티지 디카 사고 을지로 카페•소품샵 투어 (종로디지탈,빠우,꽃밭,우츄진라멘,아트쉬프트,도탑다,커피사,아소토베이커리,마인띵스)",https://www.youtube.com/watch?v=JmnfEnDgHxw,2025-07-09,꽃밭,https://place.map.kakao.com/2073941475,서울 중구 을지로3가 258,37.5660781857151,126.994668777371,"가정,생활 > 패션",1,3,0:00
대한민국,서울,서울,율모조모,"을지로 브이로그☆ミ 세운상가에서 빈티지 디카 사고 을지로 카페•소품샵 투어 (종로디지탈,빠우,꽃밭,우츄진라멘,아트쉬프트,도탑다,커피사,아소토베이커리,마인띵스)",https://www.youtube.com/watch?v=JmnfEnDgHxw,2025-07-09,우츄진라멘,https://place.map.kakao.com/1626179857,서울 중구 산림동 207-2,37.566753967970600,126.99551765767900,음식점 > 일식 > 일본식라면,1,4,0:00
대한민국,서울,서울,율모조모,"을지로 브이로그☆ミ 세운상가에서 빈티지 디카 사고 을지로 카페•소품샵 투어 (종로디지탈,빠우,꽃밭,우츄진라멘,아트쉬프트,도탑다,커피사,아소토베이커리,마인띵스)",https://www.youtube.com/watch?v=JmnfEnDgHxw,2025-07-09,아트쉬프트,https://place.map.kakao.com/814149689,서울 중구 을지로3가 286-2,37.5658799056865,126.993457667704,음식점 > 카페,1,5,0:00
대한민국,서울,서울,율모조모,"을지로 브이로그☆ミ 세운상가에서 빈티지 디카 사고 을지로 카페•소품샵 투어 (종로디지탈,빠우,꽃밭,우츄진라멘,아트쉬프트,도탑다,커피사,아소토베이커리,마인띵스)",https://www.youtube.com/watch?v=JmnfEnDgHxw,2025-07-09,도탑다,https://place.map.kakao.com/1155708376,서울 중구 을지로3가 291-42,37.5658528417218,126.992869086757,음식점 > 카페,1,6,0:00
대한민국,서울,서울,율모조모,"을지로 브이로그☆ミ 세운상가에서 빈티지 디카 사고 을지로 카페•소품샵 투어 (종로디지탈,빠우,꽃밭,우츄진라멘,아트쉬프트,도탑다,커피사,아소토베이커리,마인띵스)",https://www.youtube.com/watch?v=JmnfEnDgHxw,2025-07-09,커피사,https://place.map.kakao.com/170158577,서울 중구 을지로3가 278,37.5661439151892,126.99378476238400,음식점 > 카페,1,7,0:00
대한민국,서울,서울,율모조모,"을지로 브이로그☆ミ 세운상가에서 빈티지 디카 사고 을지로 카페•소품샵 투어 (종로디지탈,빠우,꽃밭,우츄진라멘,아트쉬프트,도탑다,커피사,아소토베이커리,마인띵스)",https://www.youtube.com/watch?v=JmnfEnDgHxw,2025-07-09,아소토베이커리,https://place.map.kakao.com/1631356269,서울 중구 초동 156-9,37.5637435137836,126.991428431213,"음식점 > 간식 > 제과,베이커리",1,8,0:00
대한민국,서울,서울,율모조모,"을지로 브이로그☆ミ 세운상가에서 빈티지 디카 사고 을지로 카페•소품샵 투어 (종로디지탈,빠우,꽃밭,우츄진라멘,아트쉬프트,도탑다,커피사,아소토베이커리,마인띵스)",https://www.youtube.com/watch?v=JmnfEnDgHxw,2025-07-09,마인띵스,https://place.map.kakao.com/1004699741,서울 중구 저동2가 47-1,37.5639875974015,126.990311254696,"가정,생활 > 생활용품점",1,9,0:00
,,,,,,,,,,,,,,,
,,,,,"파주 당일치기 여행 브이로그🌳 | 갓성비 도너츠, 라멘 찐맛집, 파주 맛집•파주 카페 추천, 파주 가볼만한 곳, 자연과 멋과 맛이 있는 서울 근교 여행🚙",,,,,,,,,,
대한민국,경기,파주,율모조모,"파주 당일치기 여행 브이로그🌳 | 갓성비 도너츠, 라멘 찐맛집, 파주 맛집•파주 카페 추천, 파주 가볼만한 곳, 자연과 멋과 맛이 있는 서울 근교 여행🚙",https://www.youtube.com/watch?v=9kNNbutKhWE,2025-06-28,조은도너츠,https://place.map.kakao.com/26437235,경기 파주시 월롱면 영태리 527-3,37.7740951539961,126.789038205798,음식점 > 간식 > 도넛,1,1,0:00
대한민국,경기,파주,율모조모,"파주 당일치기 여행 브이로그🌳 | 갓성비 도너츠, 라멘 찐맛집, 파주 맛집•파주 카페 추천, 파주 가볼만한 곳, 자연과 멋과 맛이 있는 서울 근교 여행🚙",https://www.youtube.com/watch?v=9kNNbutKhWE,2025-06-28,잇쇼니키친,https://place.map.kakao.com/2040623387,경기 파주시 금촌동 967-3,37.7579045821783,126.766905492014,음식점 > 일식 > 일본식라면,1,2,0:00
대한민국,경기,파주,율모조모,"파주 당일치기 여행 브이로그🌳 | 갓성비 도너츠, 라멘 찐맛집, 파주 맛집•파주 카페 추천, 파주 가볼만한 곳, 자연과 멋과 맛이 있는 서울 근교 여행🚙",https://www.youtube.com/watch?v=9kNNbutKhWE,2025-06-28,연리희재 파주,https://place.map.kakao.com/1428812295,경기 파주시 탄현면 갈현리 797-1,37.7684106528357,126.713351951771,음식점 > 카페 > 테마카페 > 디저트카페,1,3,0:00
대한민국,경기,파주,율모조모,"파주 당일치기 여행 브이로그🌳 | 갓성비 도너츠, 라멘 찐맛집, 파주 맛집•파주 카페 추천, 파주 가볼만한 곳, 자연과 멋과 맛이 있는 서울 근교 여행🚙",https://www.youtube.com/watch?v=9kNNbutKhWE,2025-06-28,오두산 통일전망대,https://place.map.kakao.com/12458133,경기 파주시 탄현면 성동리 659,37.773276135695800,126.67722749484200,"여행 > 관광,명소 > 전망대",1,4,0:00
대한민국,경기,파주,율모조모,"파주 당일치기 여행 브이로그🌳 | 갓성비 도너츠, 라멘 찐맛집, 파주 맛집•파주 카페 추천, 파주 가볼만한 곳, 자연과 멋과 맛이 있는 서울 근교 여행🚙",https://www.youtube.com/watch?v=9kNNbutKhWE,2025-06-28,미메시스 아트 뮤지엄,https://place.map.kakao.com/13272490,경기 파주시 문발동 499-3,37.716792732012800,126.68891883457600,"문화,예술 > 문화시설 > 미술관",1,5,0:00
