국가,도,시,유튜브 채널명,영상 제목,영상 링크,업로드일,장소 이름,맵 링크,주소,위도,경도,카테고리,여행 일차,방문 순서,타임라인
,,,,,,,,,,,,,,,
,,,,,8년차 제주도민이 알려드리는 제주도 2박3일 여름휴가 여행코스 추천 (남쪽) - 서귀포 최고의 물놀이 명소는?,,,,,,,,,,
대한민국,제주,제주,제주에디 Jeju Eddy,8년차 제주도민이 알려드리는 제주도 2박3일 여름휴가 여행코스 추천 (남쪽) - 서귀포 최고의 물놀이 명소는?,https://www.youtube.com/watch?v=_pmT3ElAkmU,2025-07-11,한라산아래첫마을,https://place.map.kakao.com/1710030150,제주특별자치도 서귀포시 안덕면 광평리 211,33.32820916398470,126.37954963795800,음식점 > 한식,1,1,0:00
대한민국,제주,제주,제주에디 Jeju Eddy,8년차 제주도민이 알려드리는 제주도 2박3일 여름휴가 여행코스 추천 (남쪽) - 서귀포 최고의 물놀이 명소는?,https://www.youtube.com/watch?v=_pmT3ElAkmU,2025-07-11,중문색달해수욕장,https://place.map.kakao.com/8069764,제주특별자치도 서귀포시 색달동 3039,33.2450381505136,126.411498674889,"여행 > 관광,명소 > 해수욕장,해변",1,2,0:00
대한민국,제주,제주,제주에디 Jeju Eddy,8년차 제주도민이 알려드리는 제주도 2박3일 여름휴가 여행코스 추천 (남쪽) - 서귀포 최고의 물놀이 명소는?,https://www.youtube.com/watch?v=_pmT3ElAkmU,2025-07-11,논짓물,https://place.map.kakao.com/15716106,제주특별자치도 서귀포시 하예동 580,33.23718513319300,126.3879815953790,음식점 > 카페 > 테마카페,1,3,0:00
대한민국,제주,제주,제주에디 Jeju Eddy,8년차 제주도민이 알려드리는 제주도 2박3일 여름휴가 여행코스 추천 (남쪽) - 서귀포 최고의 물놀이 명소는?,https://www.youtube.com/watch?v=_pmT3ElAkmU,2025-07-11,중문생선구이,https://place.map.kakao.com/210485686,제주특별자치도 서귀포시 중문동 2446-1,33.2492395426089,126.430047319849,"음식점 > 한식 > 해물,생선",1,4,0:00
대한민국,제주,제주,제주에디 Jeju Eddy,8년차 제주도민이 알려드리는 제주도 2박3일 여름휴가 여행코스 추천 (남쪽) - 서귀포 최고의 물놀이 명소는?,https://www.youtube.com/watch?v=_pmT3ElAkmU,2025-07-11,새연교,https://place.map.kakao.com/26875121,제주특별자치도 서귀포시 서홍동 707-4,33.23853253939840,126.55888601468100,"교통,수송 > 도로시설 > 교량,다리",1,5,0:00
대한민국,제주,제주,제주에디 Jeju Eddy,8년차 제주도민이 알려드리는 제주도 2박3일 여름휴가 여행코스 추천 (남쪽) - 서귀포 최고의 물놀이 명소는?,https://www.youtube.com/watch?v=_pmT3ElAkmU,2025-07-11,천지연폭포,https://place.map.kakao.com/8100102,제주특별자치도 서귀포시 서홍동 2565,33.24721231608810,126.55452234288000,"여행 > 관광,명소 > 폭포",1,6,0:00
대한민국,제주,제주,제주에디 Jeju Eddy,8년차 제주도민이 알려드리는 제주도 2박3일 여름휴가 여행코스 추천 (남쪽) - 서귀포 최고의 물놀이 명소는?,https://www.youtube.com/watch?v=_pmT3ElAkmU,2025-07-11,정이가네,https://place.map.kakao.com/889033877,제주특별자치도 서귀포시 서호동 1470-7,33.25196316800580,126.51112352202500,음식점 > 한식,2,1,0:00
대한민국,제주,제주,제주에디 Jeju Eddy,8년차 제주도민이 알려드리는 제주도 2박3일 여름휴가 여행코스 추천 (남쪽) - 서귀포 최고의 물놀이 명소는?,https://www.youtube.com/watch?v=_pmT3ElAkmU,2025-07-11,제주실탄사격장,https://place.map.kakao.com/19741107,제주특별자치도 서귀포시 상예동 2802,33.2636778293269,126.385684769709,"스포츠,레저 > 스포츠시설 > 사격,궁도",2,2,0:00
대한민국,제주,제주,제주에디 Jeju Eddy,8년차 제주도민이 알려드리는 제주도 2박3일 여름휴가 여행코스 추천 (남쪽) - 서귀포 최고의 물놀이 명소는?,https://www.youtube.com/watch?v=_pmT3ElAkmU,2025-07-11,형제섬,https://place.map.kakao.com/8161022,제주특별자치도 서귀포시 안덕면 사계리 산 44,33.2100012833488,126.314339121127,"여행 > 관광,명소 > 섬",2,3,0:00
대한민국,제주,제주,제주에디 Jeju Eddy,8년차 제주도민이 알려드리는 제주도 2박3일 여름휴가 여행코스 추천 (남쪽) - 서귀포 최고의 물놀이 명소는?,https://www.youtube.com/watch?v=_pmT3ElAkmU,2025-07-11,들렁모루,https://place.map.kakao.com/1542729400,제주특별자치도 서귀포시 서홍동 2442-6,33.2805669807447,126.544773509129,"음식점 > 한식 > 육류,고기 > 오리",2,4,0:00
대한민국,제주,제주,제주에디 Jeju Eddy,8년차 제주도민이 알려드리는 제주도 2박3일 여름휴가 여행코스 추천 (남쪽) - 서귀포 최고의 물놀이 명소는?,https://www.youtube.com/watch?v=_pmT3ElAkmU,2025-07-11,원앙폭포,https://place.map.kakao.com/12545248,제주특별자치도 서귀포시 상효동 1463,33.3001768930001,126.581329667008,"여행 > 관광,명소 > 폭포",2,5,0:00
대한민국,제주,제주,제주에디 Jeju Eddy,8년차 제주도민이 알려드리는 제주도 2박3일 여름휴가 여행코스 추천 (남쪽) - 서귀포 최고의 물놀이 명소는?,https://www.youtube.com/watch?v=_pmT3ElAkmU,2025-07-11,광어다,https://place.map.kakao.com/1590521808,제주특별자치도 서귀포시 표선면 세화리 181,33.3039050270188,126.80928596521,"음식점 > 한식 > 해물,생선 > 회",2,6,0:00
대한민국,제주,제주,제주에디 Jeju Eddy,8년차 제주도민이 알려드리는 제주도 2박3일 여름휴가 여행코스 추천 (남쪽) - 서귀포 최고의 물놀이 명소는?,https://www.youtube.com/watch?v=_pmT3ElAkmU,2025-07-11,빛의 섬 루미버스,https://place.map.kakao.com/373975033,제주특별자치도 서귀포시 표선면 표선리 40-1,33.3212861429014,126.843083274771,"여행 > 관광,명소 > 테마파크",2,7,0:00
대한민국,제주,제주,제주에디 Jeju Eddy,8년차 제주도민이 알려드리는 제주도 2박3일 여름휴가 여행코스 추천 (남쪽) - 서귀포 최고의 물놀이 명소는?,https://www.youtube.com/watch?v=_pmT3ElAkmU,2025-07-11,99나인티나인,https://place.map.kakao.com/1576060329,제주특별자치도 서귀포시 표선면 표선리 40-76,33.3213530817048,126.844691950945,"음식점 > 술집 > 호프,요리주점",2,8,0:00
대한민국,제주,제주,제주에디 Jeju Eddy,8년차 제주도민이 알려드리는 제주도 2박3일 여름휴가 여행코스 추천 (남쪽) - 서귀포 최고의 물놀이 명소는?,https://www.youtube.com/watch?v=_pmT3ElAkmU,2025-07-11,시골친구,https://place.map.kakao.com/902742954,제주특별자치도 서귀포시 표선면 가시리 987-6,33.3467671256649,126.78373766383000,음식점 > 한식,3,1,0:00
대한민국,제주,제주,제주에디 Jeju Eddy,8년차 제주도민이 알려드리는 제주도 2박3일 여름휴가 여행코스 추천 (남쪽) - 서귀포 최고의 물놀이 명소는?,https://www.youtube.com/watch?v=_pmT3ElAkmU,2025-07-11,표선해수욕장,https://place.map.kakao.com/8640631,제주특별자치도 서귀포시 표선면 표선리,33.3275109235413,126.837424825392,"여행 > 관광,명소 > 해수욕장,해변",3,2,0:00
대한민국,제주,제주,제주에디 Jeju Eddy,8년차 제주도민이 알려드리는 제주도 2박3일 여름휴가 여행코스 추천 (남쪽) - 서귀포 최고의 물놀이 명소는?,https://www.youtube.com/watch?v=_pmT3ElAkmU,2025-07-11,구두미포구,https://place.map.kakao.com/13723900,제주특별자치도 서귀포시 보목동,33.2367167469061,126.596631758338,"교통,수송 > 교통시설 > 항구,포구",3,3,0:00
대한민국,제주,제주,제주에디 Jeju Eddy,8년차 제주도민이 알려드리는 제주도 2박3일 여름휴가 여행코스 추천 (남쪽) - 서귀포 최고의 물놀이 명소는?,https://www.youtube.com/watch?v=_pmT3ElAkmU,2025-07-11,유달식당,https://place.map.kakao.com/10685761,제주특별자치도 서귀포시 하효동 314,33.26225605963000,126.62059448511800,음식점 > 중식 > 중국요리,3,4,0:00
