국가,도,시,유튜브 채널명,영상 제목,영상 링크,업로드일,장소 이름,맵 링크,주소,위도,경도,카테고리,여행 일차,방문 순서,타임라인
,,,,,,,,,,,,,,,
,,,,,"도쿄여행 브이로그❤️‍🔥핫플+쇼핑+맛집 다 가봤다🛍️🤍(슈프림, 베이프, 돈키호테, 비비안 웨스트우드, 셀린느, 티파니앤코) 시부야 신주쿠 센소지 긴자 필수💗 도쿄 야경 쇼핑하울",,,,,,,,,,
일본,,도쿄,채리어 Chaerrier,"도쿄여행 브이로그❤️‍🔥핫플+쇼핑+맛집 다 가봤다🛍️🤍(슈프림, 베이프, 돈키호테, 비비안 웨스트우드, 셀린느, 티파니앤코) 시부야 신주쿠 센소지 긴자 필수💗 도쿄 야경 쇼핑하울",https://www.youtube.com/watch?v=Km-iR4MBBdA,2024-06-06,이치란 신주쿠 가부키초점,https://www.google.com/maps/place/?q=place_id:ChIJp1Kx1dmMGGARvbZ_YYRx0vQ,"1 Chome-17-10 Kabukicho, Shinjuku City, Tokyo 160-0021 일본",35.6943605,139.7015567,meal_takeaway,1,1,5:17
일본,,도쿄,채리어 Chaerrier,"도쿄여행 브이로그❤️‍🔥핫플+쇼핑+맛집 다 가봤다🛍️🤍(슈프림, 베이프, 돈키호테, 비비안 웨스트우드, 셀린느, 티파니앤코) 시부야 신주쿠 센소지 긴자 필수💗 도쿄 야경 쇼핑하울",https://www.youtube.com/watch?v=Km-iR4MBBdA,2024-06-06,돈키호테 신주쿠가부키초점,https://www.google.com/maps/place/?q=place_id:ChIJPbnq29mMGGARKCnQB1AFg4U,"1 Chome-16-5 Kabukicho, Shinjuku City, Tokyo 160-0021 일본",35.6938447,139.7016838,furniture_store,1,2,6:42
일본,,도쿄,채리어 Chaerrier,"도쿄여행 브이로그❤️‍🔥핫플+쇼핑+맛집 다 가봤다🛍️🤍(슈프림, 베이프, 돈키호테, 비비안 웨스트우드, 셀린느, 티파니앤코) 시부야 신주쿠 센소지 긴자 필수💗 도쿄 야경 쇼핑하울",https://www.youtube.com/watch?v=Km-iR4MBBdA,2024-06-06,Taishu Sukiyaki Hokuto Ginza,https://www.google.com/maps/place/?q=place_id:ChIJy1rojXWLGGARm6Ib1ckp3pM,"일본 〒104-0061 Tokyo, Chuo City, Ginza, 6 Chome−2番 2F 先",35.6717622,139.7602712,restaurant,2,1,8:17
일본,,도쿄,채리어 Chaerrier,"도쿄여행 브이로그❤️‍🔥핫플+쇼핑+맛집 다 가봤다🛍️🤍(슈프림, 베이프, 돈키호테, 비비안 웨스트우드, 셀린느, 티파니앤코) 시부야 신주쿠 센소지 긴자 필수💗 도쿄 야경 쇼핑하울",https://www.youtube.com/watch?v=Km-iR4MBBdA,2024-06-06,긴자 식스,https://www.google.com/maps/place/?q=place_id:ChIJAQAsR--LGGAR_AmB8WMDy88,"6 Chome-10-1 Ginza, Chuo City, Tokyo 104-0061 일본",35.6697688,139.7641762,shopping_mall,2,2,8:35
일본,,도쿄,채리어 Chaerrier,"도쿄여행 브이로그❤️‍🔥핫플+쇼핑+맛집 다 가봤다🛍️🤍(슈프림, 베이프, 돈키호테, 비비안 웨스트우드, 셀린느, 티파니앤코) 시부야 신주쿠 센소지 긴자 필수💗 도쿄 야경 쇼핑하울",https://www.youtube.com/watch?v=Km-iR4MBBdA,2024-06-06,Onitsuka Tiger Ginza Store,https://www.google.com/maps/place/?q=place_id:ChIJAQCrhOiLGGARWLzn41EaUOU,"일본 〒104-0061 Tokyo, Chuo City, Ginza, 7 Chome−8−8 サエグサ第一ビル",35.6689361,139.762405,shoe_store,2,3,9:18
일본,,도쿄,채리어 Chaerrier,"도쿄여행 브이로그❤️‍🔥핫플+쇼핑+맛집 다 가봤다🛍️🤍(슈프림, 베이프, 돈키호테, 비비안 웨스트우드, 셀린느, 티파니앤코) 시부야 신주쿠 센소지 긴자 필수💗 도쿄 야경 쇼핑하울",https://www.youtube.com/watch?v=Km-iR4MBBdA,2024-06-06,센소지,https://www.google.com/maps/place/?q=place_id:ChIJ8T1GpMGOGGARDYGSgpooDWw,"2 Chome-3-1 Asakusa, Taito City, Tokyo 111-0032 일본",35.7147651,139.7966553,tourist_attraction,2,4,9:31
일본,,도쿄,채리어 Chaerrier,"도쿄여행 브이로그❤️‍🔥핫플+쇼핑+맛집 다 가봤다🛍️🤍(슈프림, 베이프, 돈키호테, 비비안 웨스트우드, 셀린느, 티파니앤코) 시부야 신주쿠 센소지 긴자 필수💗 도쿄 야경 쇼핑하울",https://www.youtube.com/watch?v=Km-iR4MBBdA,2024-06-06,Saika,https://www.google.com/maps/place/?q=place_id:ChIJV_oVzcaOGGARBdTU1dXYDyE,"일본 〒111-0032 Tokyo, Taito City, Asakusa, 1 Chome−32−3 1F",35.71191260000000,139.7966949,cafe,2,5,9:56
일본,,도쿄,채리어 Chaerrier,"도쿄여행 브이로그❤️‍🔥핫플+쇼핑+맛집 다 가봤다🛍️🤍(슈프림, 베이프, 돈키호테, 비비안 웨스트우드, 셀린느, 티파니앤코) 시부야 신주쿠 센소지 긴자 필수💗 도쿄 야경 쇼핑하울",https://www.youtube.com/watch?v=Km-iR4MBBdA,2024-06-06,Sanrio Gift Gate Asakusa,https://www.google.com/maps/place/?q=place_id:ChIJ0zfByHGPGGARHC7LMPjhGX0,"1 Chome-17-5 Asakusa, Taito City, Tokyo 111-0032 일본",35.711491,139.794924,store,2,6,10:06
